TranscriptionFactor,TargetGene,ModeOfRegulation,PMID
ABL1,BAX,Activation,11753601
ABL1,BCL2,Repression,11753601
ABL1,CDKN1A,Activation,11753601;9916993
ABL1,CSF1,Activation,23418320
ABL1,CSF1,Unknown,18619508
ABL1,FOXO3,Activation,15509806
ABL1,TP53,Activation,11753601
AHR,CYP1A1,Activation,12213390;9865727
AHR,CYP1A1,Repression,17012224
AHR,CYP1A1,Unknown,10359656;12376470;15325265;19376845;21357676;24639079;8631128;9698073
AHR,CYP1A2,Unknown,21357676
AHR,CYP1B1,Activation,16115918;19287966
AHR,CYP1B1,Unknown,12376470;19376845;21742528;24299737
AHR,CYP2B6,Unknown,19928584
AHR,IL13,Unknown,22981205
AHR,IL1B,Unknown,23349129
AHR,IL6,Activation,20511231
AHR,IL6,Unknown,18483242;23349129
AHR,MT2A,Unknown,23994556
AHR,MYC,Unknown,11114727;16091746
AHR,PCNA,Activation,12417031
APC,AKT1,Repression,15888491
APC,DLG1,Unknown,21858148
APC,DNMT1,Repression,12538344
APC,KLF4,Unknown,12387883
APC,MYC,Repression,16510874
APC,NOS2,Activation,11935128
APC,PTGS2,Repression,10772828;12566320
APC,PTGS2,Unknown,11396184
APC,SGK1,Repression,18487207
APEX1,CCL2,Activation,17045925
APEX1,CD19,Activation,10666449
APEX1,NFKB1,Activation,17045925
APEX1,PTH,Repression,14633989
AR,AKT1,Activation,11278645
AR,AKT1,Repression,20589722
AR,ARG1,Activation,20711410
AR,CDK6,Unknown,15790678
AR,CDKN1A,Activation,10076995
AR,CDKN1A,Repression,16281084
AR,CTNNB1,Activation,18535113
AR,EGFR,Activation,11556855;21613411
AR,ERBB2,Activation,21613411
AR,ERBB2,Unknown,21741601
AR,ERBB3,Activation,21741601
AR,FKBP4,Unknown,23192983
AR,FN1,Unknown,21055159
AR,FOXA1,Unknown,12750453
AR,HMOX1,Activation,11965035
AR,IGF1R,Activation,15033751;17202144
AR,KLK2,Unknown,11532861;16751804;20688158;9241247
AR,KLK3,Activation,10547578;11006269;11504717;11571582;12958311;16425097;16434977;16724108;17566103;20069563;21780100;22179832;23667504;8626436
AR,KLK3,Repression,16342680;9316650
AR,KLK3,Unknown,11059779;11238180;11532861;12376473;12539223;12648523;12651911;15368351;15543614;15557561;15640095;17011549;17075604;17094454;17426252;17433535;18780293;18829551;19274665;21308712;21981678;22245379;22473899;23884959;24307657;7514587;9052414;9211894
