TranscriptionFactor,TargetGene,ModeOfRegulation,PMID
AATF,BAX,Repression,22909821
ABL1,BAX,Activation,11753601
ABL1,BCL2,Repression,11753601
APC,PTGS2,Repression,10772828;12566320
APC,PTGS2,Unknown,11396184
AR,PTGS2,Repression,18386814
ARID3A,E2F1,Unknown,23659165
ATF1,BCL2,Unknown,10542244
ATF2,DUSP1,Unknown,17681939
ATF2,NOS3,Repression,16497991
ATF2,PTGS2,Unknown,11278336;12057991
ATF4,PTGS2,Unknown,21244365
ATF5,BCL2,Activation,21212266
ATF5,CREB1,Activation,17140605
ATM,BAX,Activation,16214353
ATM,BCL2,Repression,16214353
ATM,DUSP1,Activation,17178844
BACH2,BCL2,Unknown,18929412
CDCA7L,MAOB,Repression,20980443
CDX1,PTGS2,Activation,21613300
CDX2,PTGS2,Repression,15013430
CEBPA,BCL2,Repression,12970736
CEBPA,LEP,Activation,21983012
CEBPB,PTGS2,Activation,16820889;18294142
CEBPB,PTGS2,Repression,18820298
CEBPB,PTGS2,Unknown,10956548;16699180;17556653;7559624
CEBPD,PTGS2,Unknown,7559624
CIITA,MMP9,Repression,15247301
CREB1,ACACA,Activation,19842072
CREB1,ADRA1A,Unknown,10520459
CREB1,AQP3,Unknown,18495115
CREB1,AR,Unknown,15994978;21457548
CREB1,BCL2,Activation,17290286
CREB1,BCL2,Unknown,10542244;19626458
CREB1,BCL2L11,Unknown,20367563
CREB1,BDKRB1,Unknown,10842322
CREB1,BDKRB2,Unknown,15632413
CREB1,BDNF,Activation,11719924
CREB1,CASP8,Activation,18342014
CREB1,CCK,Unknown,15030385;15073527
CREB1,CCL5,Unknown,11413310
CREB1,CD4,Unknown,9765424
CREB1,CGA,Unknown,10341006
CREB1,CRTC1,Unknown,17334997
CREB1,CXCR4,Unknown,11874984
CREB1,CYP11A1,Unknown,11057754
CREB1,CYP11B1,Unknown,11196473
CREB1,CYP11B2,Unknown,11196473
CREB1,CYP17A1,Unknown,2543297
CREB1,CYP19A1,Activation,15955695;16740737
CREB1,ERBB2,Unknown,10698518
CREB1,ETV3,Activation,14754893
CREB1,FLT1,Unknown,7499271
CREB1,FOS,Unknown,12432566
CREB1,FOXA1,Unknown,22577344
CREB1,GABPA,Unknown,10585419
CREB1,GRPR,Activation,18483184
CREB1,GSK3A,Unknown,11579131
CREB1,GSK3B,Unknown,11579131
CREB1,HLA-DOB,Unknown,12938212
CREB1,HLA-DQB1,Unknown,1324879
CREB1,HMOX1,Repression,14523007
CREB1,HPGD,Unknown,10650939
CREB1,IFNG,Activation,20006311;20685939
CREB1,IFNG,Repression,11907114
CREB1,IFNG,Unknown,7759501
CREB1,IL10,Activation,10540320;22140263
CREB1,IL10,Unknown,17202341
CREB1,IL2,Unknown,8814256
CREB1,IL5RA,Unknown,9742933
CREB1,IL6,Activation,8725624
CREB1,JUN,Repression,8647095
CREB1,JUN,Unknown,10403485
CREB1,LAPTM4B,Unknown,23469012
CREB1,LYL1,Activation,23000483
CREB1,MC2R,Activation,17712720
CREB1,MITF,Activation,19937254
CREB1,MMP2,Unknown,10506168
CREB1,MSMB,Unknown,9704017
CREB1,MUC4,Activation,19757157
CREB1,MUC4,Unknown,11418607
CREB1,MUC5AC,Activation,18676374
CREB1,NDC80,Activation,17822787
CREB1,NF1,Unknown,10435592
CREB1,NMNAT2,Unknown,22027994
CREB1,NOLC1,Activation,21266110
CREB1,NPY,Unknown,12967770
CREB1,NR2F1,Repression,15955695
CREB1,NR2F6,Repression,15955695
CREB1,NR4A3,Unknown,10701778
CREB1,NR5A2,Activation,18191017
CREB1,NRF1,Unknown,20587593
CREB1,NTS,Unknown,7791794
CREB1,ODC1,Unknown,1356108
CREB1,PCSK1,Activation,8999965
CREB1,PLAT,Repression,8647095
CREB1,PLAU,Unknown,11776974
CREB1,POLD2,Unknown,10978529
CREB1,PPM1D,Unknown,19015127
CREB1,PPP2CA,Activation,17526027
CREB1,PPP2R2B,Activation,20533062
CREB1,PRL,Unknown,17187171
CREB1,PSEN1,Activation,11116137
CREB1,PTGES,Unknown,20688046
CREB1,PTGS2,Activation,22919060
CREB1,RP1,Unknown,11593399
CREB1,RRM2B,Unknown,11978967
CREB1,SLC19A1,Unknown,11078737
CREB1,SLC20A1,Activation,11722845
CREB1,SLC22A8,Unknown,16809478
CREB1,SLC39A1,Unknown,19026724
CREB1,SMAD6,Activation,14755548
CREB1,SNAI1,Repression,15955695
CREB1,SNAI2,Repression,15955695
CREB1,SOX9,Unknown,17289023
CREB1,SPRY2,Unknown,14644509
CREB1,STMN1,Unknown,23000483
CREB1,TH,Unknown,11108136
CREB1,TLR9,Unknown,15294971
CREB1,TRH,Unknown,11134186;9827656
CREB1,UXT,Activation,17761951
CREB1,VIP,Unknown,1847391
CREB1,XPC,Unknown,21507255
CREBBP,CREB1,Activation,19564345
CREBBP,PTGS2,Unknown,11278336
CREM,CREB1,Repression,11988318
CREM,DUSP1,Repression,21325296
CREB1,IBSP,Unknown,23485603
CRTC1,PPARGC1A,Activation,10893434
CTNNB1,PPARD,Unknown,17724465
CTNNB1,PTGS2,Unknown,11396184
DDB2,BCL2,Repression,20013802
DDIT3,NOS3,Repression,22265908
DEK,BCL2,Activation,17685435
DMAP1,BAX,Unknown,24559687
DNMT1,RELN,Repression,19029285
DR1,PTGS2,Activation,11840453
E2F1,ABCB1,Activation,23542036
E2F1,APAF1,Activation,12149244;12766778;17600109
E2F1,APAF1,Unknown,15972851
E2F1,AR,Activation,21099103
E2F1,AR,Unknown,22508987
E2F1,ASF1B,Activation,17328667
E2F1,ATAD2,Unknown,22771493
E2F1,ATG5,Activation,18408756
E2F1,ATM,Activation,12527885;22832221
E2F1,ATM,Unknown,23993922
E2F1,AURKA,Activation,20300951
E2F1,AURKB,Unknown,15033491
E2F1,BBC3,Activation,17263886
E2F1,BCL2,Activation,11559537;12679318
E2F1,BIRC5,Activation,17848598;19102934
E2F1,BIRC5,Repression,19102934
E2F1,BIRC5,Unknown,23449974
E2F1,BMI1,Unknown,17360938
E2F1,BRCA1,Repression,20068145
E2F1,BRCA1,Unknown,18660752;19466541;23285190
E2F1,CASP7,Activation,12766778
E2F1,CCL3,Unknown,17707233
E2F1,CCNB1,Unknown,22508987
E2F1,CCND1,Activation,20220142;20655656;8618861
E2F1,CCND1,Unknown,19876926;22768064;8137237;9584162
E2F1,CCNE1,Activation,14618416;20220142;8618861
E2F1,CD2AP,Activation,22880102
E2F1,CDAN1,Unknown,19336738
E2F1,CDC6,Unknown,18541154
E2F1,CDCA7,Activation,16580749
E2F1,CDK1,Activation,14618416
E2F1,CDKN1A,Activation,10030670
E2F1,CDKN1A,Unknown,16923815
E2F1,CDKN1C,Unknown,20106982
E2F1,CDKN2A,Activation,11705881;12695664;12766778;15716352;22621932
E2F1,CHEK1,Unknown,18660752
E2F1,CHEK2,Activation,15024084
E2F1,CREBBP,Unknown,9238849
E2F1,CTNNBIP1,Activation,21532622
E2F1,CTSV,Unknown,23542171
E2F1,CUX1,Unknown,18347061
E2F1,DAPK2,Activation,18521079
E2F1,DBF4,Activation,18503552
E2F1,DDIT3,Unknown,20971808
E2F1,DHFR,Activation,14618416
E2F1,DIRAS3,Repression,16158053;16638845;16757345;17230502
E2F1,DNMT1,Repression,24502362
E2F1,DOK1,Unknown,23028047
E2F1,DRAM1,Activation,18408756
E2F1,DROSHA,Activation,24909689
E2F1,DUSP1,Activation,17638884
E2F1,E2F1,Unknown,7958836
E2F1,E2F6,Activation,16107498
E2F1,ECT2,Unknown,21886810
E2F1,ERCC1,Activation,22159227
E2F1,ERCC5,Activation,17893230
E2F1,ERICD,Repression,24168400
E2F1,ETV4,Activation,18687701
E2F1,FANCA,Activation,18438432
E2F1,FGFR1,Activation,19303924
E2F1,FHIT,Repression,15044096
E2F1,FLT1,Unknown,20516113
E2F1,FMN2,Unknown,23839046
E2F1,FOXM1,Activation,21518729
E2F1,FSHR,Unknown,11883315
E2F1,FZD1,Activation,23806799
E2F1,FZD1,Unknown,20051274
E2F1,GINS3,Unknown,17127213
E2F1,H19,Activation,15985428
E2F1,HIC1,Activation,19491197
E2F1,HMGA1,Activation,22389255
E2F1,HSPA5,Repression,18840615
E2F1,IL1B,Unknown,17707233
E2F1,IL23A,Unknown,17707233
E2F1,IRF3,Repression,21225257;22464952
