TranscriptionFactor,TargetGene,ModeOfRegulation,PMID
AATF,TP53,Unknown,17157788
ABL1,TP53,Activation,11753601
APC,PTGS2,Repression,10772828;12566320
APC,PTGS2,Unknown,11396184
AR,IGF1R,Activation,15033751;17202144
AR,PTGS2,Repression,18386814
ATF2,PTGS2,Unknown,11278336;12057991
ATF3,TP53,Unknown,22991139
ATF4,PTGS2,Unknown,21244365
ATF4,SIGMAR1,Activation,22079628
ATM,IGF1R,Unknown,11172010
BCL6,BCL2L1,Repression,11777915
BDP1,TP53,Unknown,12734418
BRCA1,HNRNPA2B1,Repression,21099359
BRCA1,IGF1R,Unknown,11001824;19223505
CDX1,PTGS2,Activation,21613300
CDX2,GSTP1,Unknown,22580340
CDX2,PTGS2,Repression,15013430
CEBPB,BCL2L1,Unknown,19043455
CEBPB,PTGS2,Activation,16820889;18294142
CEBPB,PTGS2,Repression,18820298
CEBPB,PTGS2,Unknown,10956548;16699180;17556653;7559624
CEBPD,C3,Unknown,8385337
CEBPD,PTGS2,Unknown,7559624
CEBPD,SOD1,Activation,20385105
CRABP2,RARA,Activation,16166294
CREB1,PTGS2,Activation,22919060
CREBBP,PTGS2,Unknown,11278336
CREBBP,RARA,Unknown,21110951
CREBBP,TP53,Unknown,15154850
CRTC1,PPARGC1A,Activation,10893434
CTCF,ANG,Unknown,24659782
CTNNB1,PTGS2,Unknown,11396184
DDB2,SOD2,Repression,18431487
DNMT1,TP53,Unknown,24006445
DR1,PTGS2,Activation,11840453
E2F1,TP53,Activation,15706352
E2F1,TP53,Repression,8557038
E2F1,TP53,Unknown,12625370;21441950;22241525
EGR1,PTGS2,Repression,15517885
EGR1,SOD1,Activation,9867871
EGR1,TP53,Activation,9242687
EGR2,PTGS2,Unknown,24007274
ELF2,VCP,Activation,18544453
ELF3,PTGS2,Unknown,15794755
ELF4,TP53,Repression,20805247
ELK1,PTPRZ1,Unknown,20224786
ENO1,PTGS2,Unknown,19846662
EP300,GFAP,Activation,20414733
EP300,PTGS2,Activation,12471036
EP300,PTGS2,Unknown,12057991;17237818;17395887
EPAS1,PTPRZ1,Unknown,20224786
ERCC2,TP53,Activation,22387547
ESR1,RARA,Activation,9626663
ESR1,TP53,Repression,17681750
ETS1,ATXN2,Unknown,22914732
ETS1,SQSTM1,Unknown,9762895
ETS1,TP53,Unknown,10510472
ETS2,TP53,Unknown,10510472
ETV4,PTGS2,Activation,11274170
EWSR1,ATF1,Unknown,9569031
EWSR1,CCK,Unknown,17438102
EWSR1,EGR2,Unknown,22327514
EWSR1,MITF,Activation,12966428
EWSR1,NR0B1,Unknown,18591936
EWSR1,PHLDA1,Repression,22323082
EWSR1,POU4F1,Unknown,15021903
EWSR1,TERT,Activation,14678994
