TranscriptionFactor,TargetGene,ModeOfRegulation,PMID
AATF,BAX,Repression,22909821
AATF,CDKN1A,Unknown,17157788
AATF,KLK3,Unknown,23146908
AATF,MYC,Activation,20549547
AATF,TP53,Unknown,17157788
ABL1,BAX,Activation,11753601
ABL1,BCL2,Repression,11753601
ABL1,BCL6,Repression,15509806
ABL1,CDKN1A,Activation,11753601;9916993
ABL1,CSF1,Activation,23418320
ABL1,CSF1,Unknown,18619508
ABL1,FOXO3,Activation,15509806
ABL1,JUN,Activation,15145216
ABL1,JUN,Repression,19357699
ABL1,TP53,Activation,11753601
AHR,ABCG2,Unknown,20460431
AHR,BRCA1,Unknown,18259752
AHR,CCND1,Unknown,24380854
AHR,CYP1A2,Unknown,21357676
AHR,CYP2B6,Unknown,19928584
AHR,FOS,Unknown,10478842
AHR,IL13,Unknown,22981205
AHR,IL1B,Unknown,23349129
AHR,IL6,Activation,20511231
AHR,IL6,Unknown,18483242;23349129
AHR,MFSD2A,Unknown,21736709
AHR,MT2A,Unknown,23994556
AHR,MYC,Unknown,11114727;16091746
AHR,PCNA,Activation,12417031
AHR,UGT1A1,Activation,18172616
APC,AKT1,Repression,15888491
APC,DLG1,Unknown,21858148
APC,DNMT1,Repression,12538344
APC,KLF4,Unknown,12387883
APC,MYC,Repression,16510874
APC,NOS2,Activation,11935128
APC,ODC1,Repression,12112318
APC,PTGS2,Repression,10772828;12566320
APC,PTGS2,Unknown,11396184
APC,SGK1,Repression,18487207
APEX1,CCL2,Activation,17045925
APEX1,CD19,Activation,10666449
APEX1,NFKB1,Activation,17045925
APEX1,RELA,Activation,17045925
AR,AKT1,Activation,11278645
AR,AKT1,Repression,20589722
AR,ARG1,Activation,20711410
AR,ARG2,Activation,20711410
AR,BSG,Unknown,14633669
AR,CDH1,Repression,18794357
AR,CDH2,Activation,17297473;18535113
AR,CDKN1A,Activation,10076995
AR,CDKN1A,Repression,16281084
AR,CRH,Repression,16446741
AR,CTNNB1,Activation,18535113
AR,CYP7B1,Repression,16630558
AR,EGFR,Activation,11556855;21613411
AR,EP300,Activation,22334658
AR,ERBB2,Activation,21613411
AR,ERBB2,Unknown,21741601
AR,FKBP4,Unknown,23192983
AR,FN1,Unknown,21055159
AR,FOLH1,Unknown,12539223
AR,FOXA1,Unknown,12750453
AR,HMOX1,Activation,11965035
AR,IGF1R,Activation,15033751;17202144
AR,IGFBP3,Unknown,23859805
AR,JUN,Activation,20148354
AR,KLK3,Activation,10547578;11006269;11504717;11571582;12958311;16425097;16434977;16724108;17566103;20069563;21780100;22179832;23667504;8626436
