TranscriptionFactor,TargetGene,ModeOfRegulation,PMID
CTNNB1,PTGS2,Unknown,11396184
ENO1,PTGS2,Unknown,19846662
ESR1,BCL2,Activation,19148464
ESR1,BCL2,Unknown,10542244;11261829;9306964
ESR1,CHAT,Unknown,10037443
ESR1,CRH,Repression,12161509
ESR1,CTNNB1,Repression,16628468
ESR1,ESR1,Unknown,16636675
ESR1,VEGFA,Activation,19398483
ESR1,VEGFA,Unknown,10995484;14647449
NFE2L2,HMOX1,Activation,16551619;21982894;22484158
NFE2L2,HMOX1,Repression,22459801
NFE2L2,HMOX1,Unknown,17942419;24035498
NFE2L2,MTHFR,Activation,16551619
NFE2L2,SOD1,Activation,22493435
NFE2L2,SOD2,Activation,22493435
PPARG,AGER,Repression,18855759
PPARG,BCL2,Activation,15067355
PPARG,BCL2,Repression,14960510
PPARG,HMOX1,Unknown,17413033
PPARG,PTGS2,Activation,11412039
PPARG,PTGS2,Repression,14555539;16506021
PPARG,PTGS2,Unknown,10827178;11278336
PPARG,SLC2A4,Repression,16670091
