TranscriptionFactor,TargetGene,ModeOfRegulation,PMID
AATF,TP53,Unknown,17157788
ABL1,BAX,Activation,11753601
ABL1,BCL2,Repression,11753601
ABL1,BCL6,Repression,15509806
ABL1,CCND2,Activation,15509806
ABL1,CDKN1A,Activation,11753601;9916993
ABL1,CSF1,Activation,23418320
ABL1,CSF1,Unknown,18619508
ABL1,FOXO3,Activation,15509806
ABL1,JUN,Activation,15145216
ABL1,JUN,Repression,19357699
ABL1,PIM1,Activation,15145216
ABL1,TP53,Activation,11753601
AHR,IL1B,Unknown,23349129
AHR,IL6,Activation,20511231
AHR,IL6,Unknown,18483242;23349129
APC,AKT1,Repression,15888491
APC,DLG1,Unknown,21858148
APC,NOS2,Activation,11935128
APC,PTGS2,Repression,10772828;12566320
APC,PTGS2,Unknown,11396184
APEX1,CCL2,Activation,17045925
AR,AKT1,Activation,11278645
AR,AKT1,Repression,20589722
AR,HMOX1,Activation,11965035
AR,IGF1R,Activation,15033751;17202144
AR,PTEN,Activation,23418309
AR,PTEN,Unknown,20729295;21532617
AR,PTGS2,Repression,18386814
AR,TH,Activation,16356647
AR,VEGFA,Activation,16007189
AR,VEGFA,Unknown,23369005
ARNT,CTSD,Unknown,9611253
ARNT,ESR1,Unknown,17991765
ARNT,VEGFA,Unknown,16774940;19020709
ASCL1,IGF2,Repression,20842449
ASXL1,FABP4,Unknown,21047783
ATF1,BCL2,Unknown,10542244
ATF1,GABPA,Unknown,10585419
ATF1,IL10,Activation,10540320
ATF1,TH,Unknown,11108136
ATF2,FASLG,Unknown,19670268;9710625
ATF2,INS,Activation,21278380
ATF2,INS,Unknown,10909971
ATF2,PTGS2,Unknown,11278336;12057991
ATF2,TNF,Activation,10688670;10748079;10913190;20068037
ATF3,PENK,Unknown,7935470
ATF3,TP53,Unknown,22991139
ATF4,APOE,Activation,22028770
ATF4,CCL2,Unknown,16931790
ATF4,DDIT4,Activation,19059405;19439225
ATF4,IL6,Unknown,16931790
ATF4,PTGS2,Unknown,21244365
ATF4,SIRT1,Activation,22363646
ATF4,SIRT1,Repression,21801305
ATF4,SIRT2,Repression,21801305
ATF4,VEGFA,Activation,15788408;18829529
ATF4,VEGFA,Unknown,18451308;22915762;23908598
ATF5,BCL2,Activation,21212266
ATM,BCL2,Repression,16214353
ATM,IGF1R,Unknown,11172010
ATM,VEGFA,Repression,20676049
