TranscriptionFactor,TargetGene,ModeOfRegulation,PMID
AR,VEGFA,Activation,16007189
AR,VEGFA,Unknown,23369005
AR,VIM,Repression,18535113
ARNT,VEGFA,Unknown,16774940;19020709
ATF4,VEGFA,Activation,15788408;18829529
ATF4,VEGFA,Unknown,18451308;22915762;23908598
ATM,VEGFA,Repression,20676049
BRCA1,VEGFA,Activation,16543242
CEBPD,SOD1,Activation,20385105
COPS5,VEGFA,Activation,12542982
CTNNB1,VIM,Activation,12750294
DDB2,SOD2,Repression,18431487
DNMT1,VEGFA,Activation,17934516
E2F1,VEGFA,Repression,20639906
E2F3,VEGFA,Unknown,21372519
EGR1,SOD1,Activation,9867871
EGR1,VEGFA,Activation,20489156
EGR1,VEGFA,Repression,15517885
EGR1,VEGFA,Unknown,9049304
EP300,VEGFA,Activation,22789427
EPAS1,VEGFA,Activation,11301389;11751212;16900513;19080330
EPAS1,VEGFA,Unknown,15156561;16920734
ERG,VIM,Activation,8895512
ESR1,VEGFA,Activation,19398483
ESR1,VEGFA,Unknown,10995484;14647449
ESR2,VEGFA,Unknown,10995484
ETV4,VIM,Activation,8895512
FOXM1,VEGFA,Unknown,21860419
FOXO3,VEGFA,Unknown,21860419
FOXO4,SOD2,Activation,21536589
FOXQ1,VEGFA,Activation,20145154
HDAC2,VEGFA,Unknown,23926105
HDAC3,VEGFA,Unknown,23926105
HDAC4,VEGFA,Repression,19509297
HDGF,VEGFA,Activation,14662017;21302807
HDGF,VIM,Activation,22247069
HEXIM1,VEGFA,Unknown,20453883
HIC1,VEGFA,Repression,24067369
HIF1A,VEGFA,Activation,11749701;12542982;12820439;15315159;15735682;15890092;16052307;16515634;16540671;16854277;16900513;17461470;17557905;17889387;18027712;18060642;18572865;19759417;22789427
HIF1A,VEGFA,Repression,12509854;14712484;15930297;16596228;18471962
HIF1A,VEGFA,Unknown,11486006;15156561;16543242;16774940;17486380;18835464;19238077;19502554;21731766;23060442
HIF1A,VIM,Activation,22295844
HIPK2,VEGFA,Repression,18644116;19046997
HIPK2,VIM,Repression,22236966
HNF1A,VEGFA,Unknown,21731766
HOXA7,VIM,Activation,11742062
HOXB7,VEGFA,Activation,21183939
HTATIP2,VEGFA,Repression,19349353
ID3,VEGFA,Unknown,16926250
JUN,SOD2,Unknown,15330761
JUN,VEGFA,Repression,11731421
KLF4,SOD1,Repression,23370975
KLF4,VEGFA,Unknown,23926105
KLF8,VIM,Repression,20728449
MEF2C,VEGFA,Unknown,18450586
MSX2,SOD1,Activation,22824755
MTF1,SOD1,Activation,15378601
MYC,PRDX3,Activation,12011429
MYC,VEGFA,Activation,19398483
MYC,VEGFA,Unknown,18809243
NFE2L2,SOD1,Activation,22493435
NFE2L2,SOD2,Activation,22493435
NFKB1,SOD2,Activation,11880364;14515147;19507253
NFKB1,SOD2,Unknown,15330761;18779124
NFKB1,VEGFA,Activation,15856023;16684540;17407600;18056465
NFKB1,VEGFA,Repression,15517885
NFKB1,VEGFA,Unknown,12160329;17673602;18184402;20103608;20538607
NKX3-1,VEGFA,Unknown,18974119
NR1H4,VEGFA,Activation,21364590
NRF1,PRDX3,Activation,21051700
PARP1,VIM,Activation,17720873
PGR,VEGFA,Unknown,22542550
PPARA,SOD2,Unknown,19958503
PPARD,SOD1,Activation,18048767
PTTG1,VEGFA,Activation,12213878;16926250
RB1,VEGFA,Activation,16007189
REL,SOD2,Activation,11880364
RELA,SOD2,Activation,11880364;14515147;19507253
RELA,SOD2,Unknown,15330761;18779124
RELA,VEGFA,Activation,15856023;16684540;17407600;18056465
RELA,VEGFA,Repression,15517885
RELA,VEGFA,Unknown,12160329;17673602;18184402;20103608;20538607
RUNX1,VEGFA,Repression,21447743
RUNX2,VEGFA,Activation,19509297;22641097
SMAD3,VEGFA,Unknown,11486006
SOX2,VIM,Activation,20739473
SP1,SOD1,Activation,8921911;9867871
SP1,SOD1,Repression,11724400
SP1,SOD2,Repression,11853549
SP1,SOD2,Unknown,18779124;23500038
SP1,VEGFA,Activation,10581162;12429844;15217947;15342781;16540671;16982770;21115498
SP1,VEGFA,Repression,11559575
SP1,VEGFA,Unknown,10816575;11731421;12560084;14647449;18575762;23369005;8910439
SP1,VIM,Activation,12771217
SP3,VEGFA,Unknown,10816575;14647449
STAT3,VEGFA,Unknown,23104276
