TranscriptionFactor,TargetGene,ModeOfRegulation,PMID
AATF,BAX,Repression,22909821
ABL1,BAX,Activation,11753601
ABL1,BCL2,Repression,11753601
AHR,IL1B,Unknown,23349129
AHR,IL6,Activation,20511231
AHR,IL6,Unknown,18483242;23349129
AHR,MT2A,Unknown,23994556
APC,NOS2,Activation,11935128
APC,PTGS2,Repression,10772828;12566320
APC,PTGS2,Unknown,11396184
AR,CRH,Repression,16446741
AR,CTNNB1,Activation,18535113
AR,HMOX1,Activation,11965035
AR,IGF1R,Activation,15033751;17202144
AR,PTGS2,Repression,18386814
AR,VEGFA,Activation,16007189
AR,VEGFA,Unknown,23369005
ARNT,ESR1,Unknown,17991765
ARNT,VEGFA,Unknown,16774940;19020709
ASCL1,IGF2,Repression,20842449
ATF1,BCL2,Unknown,10542244
ATF2,INS,Activation,21278380
ATF2,INS,Unknown,10909971
ATF2,NOS3,Repression,16497991
ATF2,PLAU,Unknown,10454570
ATF2,PTGS2,Unknown,11278336;12057991
ATF2,TNF,Activation,10688670;10748079;10913190;20068037
ATF4,APOE,Activation,22028770
ATF4,IL6,Unknown,16931790
ATF4,PLAU,Activation,18829529
ATF4,PTGS2,Unknown,21244365
ATF4,VEGFA,Activation,15788408;18829529
ATF4,VEGFA,Unknown,18451308;22915762;23908598
ATF5,BCL2,Activation,21212266
ATM,BAX,Activation,16214353
ATM,BCL2,Repression,16214353
ATM,IGF1R,Unknown,11172010
ATM,VEGFA,Repression,20676049
BACH1,HMOX1,Activation,17942419
BACH1,HMOX1,Repression,17409198;18550526;21982894
BACH2,BCL2,Unknown,18929412
BARD1,ESR1,Activation,20060929
BARX2,ESR1,Unknown,16636675
BIN1,MYC,Unknown,9797456
BRCA1,ESR1,Activation,20060929
BRCA1,IGF1,Repression,18045956
BRCA1,IGF1R,Unknown,11001824;19223505
BRCA1,VEGFA,Activation,16543242
CDCA7L,MAOB,Repression,20980443
CDX1,PPARG,Activation,19059241
CDX1,PTGS2,Activation,21613300
CDX2,GSK3B,Unknown,24501326
CDX2,PTGS2,Repression,15013430
CEBPA,BCL2,Repression,12970736
CEBPA,GAPDH,Unknown,12842822
CEBPA,IGF1,Activation,7708053
CEBPA,IGF2,Unknown,7659086
CEBPA,IL6,Unknown,11975924
CEBPA,INSR,Activation,8288055
CEBPA,LEP,Activation,21983012
CEBPB,HSF1,Unknown,11801594
CEBPB,IL1B,Activation,17386941
CEBPB,IL1B,Unknown,10383163;10801783
CEBPB,IL6,Activation,10903137;8725624
CEBPB,IL6,Unknown,11120852
CEBPB,INSR,Activation,8288055
CEBPB,PTGS2,Activation,16820889;18294142
CEBPB,PTGS2,Repression,18820298
CEBPB,PTGS2,Unknown,10956548;16699180;17556653;7559624
CEBPB,TNF,Unknown,10629048;9566900
CEBPD,CASP8,Unknown,24810056
CEBPD,GAPDH,Unknown,12842822
CEBPD,PPARG,Activation,10649448;18619497;20971808
CEBPD,PTGS2,Unknown,7559624
CEBPD,SOD1,Activation,20385105
CEBPD,TNF,Unknown,10629048
CIITA,HLA-DRB5,Unknown,10886240
COPS5,VEGFA,Activation,12542982
CREB1,BCL2,Activation,17290286
CREB1,BCL2,Unknown,10542244;19626458
CREB1,BDNF,Activation,11719924
CREB1,CASP8,Activation,18342014
CREB1,GSK3B,Unknown,11579131
CREB1,HMOX1,Repression,14523007
CREB1,IL6,Activation,8725624
CREB1,NPY,Unknown,12967770
CREB1,PLAU,Unknown,11776974
CREB1,PSEN1,Activation,11116137
CREB1,PTGS2,Activation,22919060
CREBBP,PTGS2,Unknown,11278336
CREM,ACE,Activation,8901568
CRTC1,PPARGC1A,Activation,10893434
CTCF,APP,Activation,11706010;9407128
CTCF,APP,Repression,11706010
CTCF,IGF2,Unknown,18458536;20966046;21536749;24725430
CTNNB1,AR,Unknown,16141201
CTNNB1,BIRC5,Unknown,19662654;19778454
CTNNB1,CCND1,Activation,17109766;20300972
CTNNB1,CCND1,Repression,16628468
CTNNB1,CCND1,Unknown,18679417;19662654;19778454
CTNNB1,CD44,Unknown,17724465
CTNNB1,CHGA,Unknown,21551321
CTNNB1,CLDN2,Activation,14751232
CTNNB1,FST,Unknown,24667650
CTNNB1,GLCE,Unknown,22805760
CTNNB1,GLI2,Unknown,19797115
CTNNB1,JUN,Activation,20300972
CTNNB1,JUN,Unknown,19671687
CTNNB1,MMP14,Activation,21517265
CTNNB1,MMP7,Activation,11158322;15000152
CTNNB1,MYC,Activation,20300972;21533051
CTNNB1,MYC,Unknown,17724465;18679417;19662654;19778454
CTNNB1,NCOA2,Unknown,16141201
CTNNB1,NRCAM,Unknown,17724465
CTNNB1,PLD1,Activation,20442281
CTNNB1,PPARD,Unknown,17724465
CTNNB1,PTGS2,Unknown,11396184
CTNNB1,RB1,Repression,16628468
CTNNB1,STARD7,Activation,21622533
CTNNB1,TCF7,Unknown,17724465
CTNNB1,VIM,Activation,12750294
DDB2,BCL2,Repression,20013802
DDB2,SOD2,Repression,18431487
DDIT3,IL6,Activation,12706815
DDIT3,NOS3,Repression,22265908
DDIT3,TF,Unknown,12939601
DDX5,IGF2,Unknown,20966046
DEK,BCL2,Activation,17685435
DMAP1,BAX,Unknown,24559687
DNMT1,CASP8,Repression,20398055
DNMT1,ESR1,Unknown,21655924;23242655
DNMT1,RELN,Repression,19029285
DNMT1,VEGFA,Activation,17934516
DR1,PTGS2,Activation,11840453
E2F1,BCL2,Activation,11559537;12679318
E2F1,CD2AP,Activation,22880102
E2F1,IL1B,Unknown,17707233
E2F1,PIN1,Unknown,20376080
E2F1,PPARG,Activation,12110166
E2F1,PPARG,Unknown,20971808
E2F1,TNF,Unknown,17707233
E2F1,VEGFA,Repression,20639906
E2F1,WWOX,Repression,15044096
E2F3,VEGFA,Unknown,21372519
E2F4,PPARG,Repression,12110166
EAPP,MAOB,Repression,20980443
EGR1,ACE,Activation,12433834
EGR1,ACE,Unknown,14679188
EGR1,ACHE,Unknown,7559515
EGR1,IGF2,Activation,8634146
EGR1,IGF2,Unknown,10606246;11336542;9610618
EGR1,IL6,Repression,15517885
EGR1,PLAU,Activation,21283769
EGR1,PPARG,Unknown,12011097
EGR1,PSEN2,Unknown,14585504
EGR1,PTGS2,Repression,15517885
EGR1,SOD1,Activation,9867871
EGR1,TNF,Activation,10913190;14767560
EGR1,VEGFA,Activation,20489156
EGR1,VEGFA,Repression,15517885
EGR1,VEGFA,Unknown,9049304
EGR2,IGF2,Unknown,9610618
EGR2,IL6,Unknown,24007274
EGR2,PTGS2,Unknown,24007274
ELF3,PTGS2,Unknown,15794755
ELK1,PSEN1,Activation,12750007
ELL,BAX,Repression,15851483
ENO1,HSD3B2,Unknown,15642786
ENO1,MYC,Repression,10681589;9119380
ENO1,MYC,Unknown,10528225;10802057;18490439;20412594;7880838
ENO1,MYCN,Unknown,15382088
ENO1,PTGS2,Unknown,19846662
EP300,IGF1,Unknown,18281476
EP300,IL6,Unknown,19966855
EP300,PTGS2,Activation,12471036
EP300,PTGS2,Unknown,12057991;17237818;17395887
EP300,VEGFA,Activation,22789427
EPAS1,VEGFA,Activation,11301389;11751212;16900513;19080330
EPAS1,VEGFA,Unknown,15156561;16920734
ERCC2,BAX,Activation,22387547
ERCC2,BCL2,Repression,22387547
ERG,ADAMTS1,Activation,19396168
ERG,HMOX1,Unknown,10022513
ESR1,ABCG2,Unknown,10342828
ESR1,AHR,Unknown,10620335
ESR1,AMH,Activation,13678390
ESR1,AR,Activation,22391641
ESR1,AVP,Unknown,11089536
ESR1,BCL2,Activation,19148464
ESR1,BCL2,Unknown,10542244;11261829;9306964
ESR1,BLM,Activation,17268063
ESR1,BRCA1,Unknown,11782371
ESR1,BTG2,Repression,19117054
ESR1,CCNA2,Activation,17681750
ESR1,CCND1,Activation,12554765;15178330;17681750
ESR1,CCND1,Unknown,12929585;22892083
ESR1,CD24,Repression,18404683
ESR1,CDH1,Unknown,17893710
ESR1,CDK4,Unknown,22179484
ESR1,CDKN1A,Activation,11517191;15378598;16628468
ESR1,CDKN1A,Repression,17681750
ESR1,CDKN1B,Repression,17681750
ESR1,CEBPB,Unknown,19652226
ESR1,CHAT,Unknown,10037443
ESR1,CRH,Repression,12161509
ESR1,CRHBP,Activation,15345745
ESR1,CTNNB1,Repression,16628468
ESR1,CTSD,Unknown,10037443;19569049
